,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
130,russell,nz,-35.2613,174.1236,49.46,97,95,2.48
131,karla,ee,59.3723,24.9275,64.98,74,0,4.61
132,quelimane,mz,-17.8776,36.8902,70.66,73,0,5.75
134,aykhal,ru,65.9451,111.5081,67.28,33,0,8.97
136,cape town,za,-33.929,18.4174,47.77,65,18,20.11
137,soyo,ao,-6.1334,12.3718,70.41,91,16,4.34
139,colmar,fr,48.0778,7.358,67.6,81,50,3.65
140,thompson,ca,55.7433,-97.8635,44.2,76,35,5.46
141,ancud,cl,-41.8682,-73.8288,39.02,77,100,12.64
142,saint-philippe,re,-21.3586,55.7679,70.7,69,39,2.98
144,srednekolymsk,ru,67.4555,153.7071,50.18,56,82,9.08
145,coquimbo,cl,-29.9532,-71.3381,49.28,78,43,13.69
146,touros,br,-5.1989,-35.4609,74.66,77,29,20.67
147,nantucket,us,41.2835,-70.0995,74.7,89,79,14.74
148,acapulco,mx,16.8603,-99.8769,79.88,87,100,3.6
150,leningradskiy,ru,69.3833,178.4167,33.76,91,100,11.36
151,east london,za,-33.0153,27.9116,47.41,82,52,18.63
152,beloha,mg,-25.1739,45.0615,76.42,49,0,8.88
153,kavieng,pg,-2.5745,150.7967,82.94,76,50,13.18
154,faanui,pf,-16.4834,-151.75,76.68,78,5,17.9
155,ribeira grande,pt,38.5167,-28.7001,71.6,88,0,14.54
156,tuktoyaktuk,ca,69.444,-133.032,47.26,96,100,12.3
158,bubaque,gw,11.2833,-15.8334,78.33,80,86,10.31
160,saint-augustin,ca,45.6256,-73.9796,75.69,72,4,8.05
161,burshtyn,ua,49.2517,24.6339,65.84,77,83,5.44
162,kaitangata,nz,-46.2818,169.8464,47.93,97,100,8.43
164,asekeyevo,ru,53.5742,52.7972,78.73,68,0,6.46
165,ponta do sol,cv,17.1994,-25.092,75.38,84,99,17.81
166,saint-pierre,pm,46.7654,-56.1695,56.08,82,99,12.24
167,klaksvik,fo,62.2266,-6.5891,51.66,93,88,16.44
168,hobart,au,-42.8826,147.3281,55.13,64,65,4.41
169,esperance,au,-33.8583,121.8932,56.91,66,54,32.48
171,sao filipe,cv,14.8961,-24.4956,73.4,81,100,17.92
172,torbay,ca,47.6577,-52.727,51.42,86,58,10.38
174,gizo,sb,-8.1031,156.8419,82.11,78,96,17.07
175,ahome,mx,25.9167,-109.1834,78.24,70,95,10.22
176,ostrovnoy,ru,68.0544,39.5129,50.79,73,0,9.1
177,turukhansk,ru,65.7954,87.9608,77.76,34,89,14.36
179,ballina,au,-28.8667,153.5667,64.15,66,0,5.26
180,fairbanks,us,64.8378,-147.7167,60.87,60,49,5.39
182,carnarvon,au,-24.8667,113.6333,66.34,65,44,18.97
183,srandakan,id,-7.9387,110.2506,74.91,91,66,22.55
184,luanda,ao,-8.8272,13.2437,69.4,85,99,2.3
186,hermanus,za,-34.4176,19.2361,46.98,57,49,14.79
187,miramar,mx,20.642,-103.4539,63.07,97,100,1.59
188,pedernales,do,18.0384,-71.7441,82.44,76,0,18.75
189,victoria,sc,-4.6167,55.45,80.42,78,35,5.68
190,strezhevoy,ru,60.7328,77.6008,85.17,37,6,6.26
192,straumen,no,63.8723,11.298,60.26,84,0,2.19
193,cayenne,gf,4.9371,-52.3259,71.92,97,26,3.33
195,waipawa,nz,-39.9412,176.5913,42.69,88,100,1.81
196,kabo,cf,7.6921,18.6243,71.24,96,100,3.51
197,roma,au,-26.5674,148.7875,67.53,32,0,13.33
198,la palma,pa,8.4049,-78.1398,78.26,86,33,2.64
199,ilulissat,gl,69.2167,-51.1,45.82,90,97,0.87
200,salalah,om,17.0149,54.0957,80.85,81,94,9.37
201,hirado,jp,33.3201,129.493,79.07,89,100,34.14
202,medzilaborce,sk,49.2711,21.904,65.41,93,95,4.36
203,ponta delgada,pt,37.7333,-25.6667,69.98,91,0,9.55
204,kieta,pg,-6.2167,155.6333,78.55,82,100,1.66
205,caucaia,br,-3.7301,-38.6594,75.58,88,82,8.14
206,mount isa,au,-20.729,139.4932,80.89,11,0,5.86
207,lagoa,pt,37.1363,-8.4541,69.15,83,0,10.42
208,tiksi,ru,71.6366,128.8685,68.22,35,27,19.53
209,eyl,so,7.9808,49.8184,91.87,42,69,34.31
210,ofaqim,il,31.3141,34.6203,84.42,61,9,3.62
211,greensboro,us,36.0726,-79.792,77.32,64,0,4.05
213,manjacaze,mz,-24.7091,33.8839,75.7,65,46,12.08
214,ogaminana,ng,7.6004,6.2014,69.37,97,97,2.33
215,santa maria,cv,16.6,-22.9,73.65,85,100,18.32
216,high rock,bs,26.6265,-78.2833,83.84,73,51,13.65
217,watrous,ca,51.6749,-105.4643,51.26,96,98,12.93
218,chapais,ca,49.7839,-74.8569,61.09,97,27,6.98
219,uyskoye,ru,54.3734,60.0054,75.6,77,100,7.99
220,kamaishi,jp,39.2793,141.864,83.05,65,33,1.9
221,saurimo,ao,-9.659,20.3981,61.84,34,45,6.8
222,provost,ca,52.3548,-110.264,52.48,92,96,6.46
223,makat,kz,47.6469,53.3463,91.04,33,0,15.75
224,malanje,ao,-9.5439,16.3475,55.9,64,11,3.53
225,pangoa,pe,-12.1167,-73,63.82,94,0,3.13
226,yerbogachen,ru,61.2767,108.0108,71.92,33,0,16.31
227,avarua,ck,-21.2078,-159.775,72.79,77,38,8.95
228,chauk,mm,20.8948,94.8198,98.71,52,98,8.01
229,alice springs,au,-23.6984,133.8813,78.19,12,18,9.22
230,luderitz,na,-26.6481,15.1594,55.22,77,0,24.25
231,svetlogorsk,ru,53.1375,59.1545,77.94,55,92,14.09
232,bethel,us,60.7922,-161.7559,56.52,79,100,11.9
234,stonewall,ca,50.1342,-97.3288,57.38,90,0,8.37
235,kodiak,us,39.9519,-94.7572,82.08,74,0,13.44
236,ozernovskiy,ru,51.5,156.5167,48.45,93,100,7.02
237,byron bay,au,-28.65,153.6167,64.17,66,5,3.83
238,san rafael,ar,-34.6127,-68.3306,43.38,44,100,4.68
239,beihai,cn,38.9458,121.1872,83.91,71,0,7.05
240,vardo,no,70.3705,31.1107,54.03,84,0,9.08
241,moses lake,us,47.1301,-119.2781,53.83,45,0,3.53
242,hashtrud,ir,37.476,47.0499,85.78,33,0,12.77
243,tikhvin,ru,59.6432,33.5345,61.83,90,95,5.1
244,pacific grove,us,36.6174,-121.9156,58.82,87,95,10.38
245,havelock,us,34.8785,-76.9015,79,87,1,4.52
246,oktyabrskoye,ru,56.7292,85.4429,77.61,36,6,8.99
247,chokurdakh,ru,70.6192,147.9022,52.02,49,100,10.89
248,tavistock,ca,43.3219,-80.8351,74.19,95,100,8.21
249,aklavik,ca,68.2183,-135.0136,49.86,83,83,9.75
251,jiayuguan,cn,39.7722,98.2885,89.02,17,100,6.08
252,severo-kurilsk,ru,50.6789,156.125,45.79,94,100,4.27
253,broken hill,au,-31.9651,141.4511,66.81,29,0,20.62
254,vila velha,br,-3.7125,-38.6045,75.58,88,82,8.14
255,sobolevo,ru,54.4299,31.8996,67.21,81,0,9.69
256,lebu,cl,-37.6167,-73.6501,53.53,87,100,20.4
257,mogadishu,so,2.0428,45.3386,83.8,67,69,15.7
258,mackay,au,-21.15,149.2,68.14,64,6,8.08
259,upington,za,-28.4564,21.2419,46.18,91,0,5.99
262,road town,vg,18.4167,-64.6167,80.53,79,1,13.73
263,dawlatabad,af,36.4141,64.9053,111.16,8,0,18.75
264,dicabisagan,ph,17.0818,122.4157,89.38,74,97,3.56
265,padang,id,-0.9248,100.3633,82.87,76,86,8.23
266,aureliana,ph,10.8885,121.978,85.1,69,67,7.7
268,port elizabeth,za,-33.918,25.5701,49.82,70,100,20.33
269,green river,us,41.5291,-109.4665,59.43,21,0,1.41
270,hasaki,jp,35.7333,140.8333,79.72,68,100,7.47
271,praia,cv,14.9215,-23.5087,75.38,81,81,19.69
272,barentu,er,15.1113,37.5903,81.57,67,12,7.34
273,novichikha,ru,52.204,81.3877,79.23,56,81,5.14
274,phonhong,la,18.5007,102.4166,103.96,44,100,1.77
275,ukiah,us,39.1502,-123.2078,48.06,91,0,0.83
276,qidong,cn,31.8128,121.6561,87.37,76,82,8.41
277,mopipi,bw,-21.2008,24.8608,53.64,23,2,6.33
278,panhala,in,16.8067,74.1126,85.24,69,100,1.77
279,belaya gora,ru,68.537,146.1873,54.97,42,84,6.26
280,ocos,gt,14.5094,-92.1934,78.22,70,78,9.06
281,cap malheureux,mu,-19.9842,57.6142,73.47,72,0,19.98
283,pevek,ru,69.7028,170.2747,32.18,95,100,7.67
284,preobrazheniye,ru,42.9019,133.9064,77.94,57,0,6.85
285,jibou,ro,47.2604,23.2579,70.56,66,15,4.25
286,susuman,ru,62.7797,148.1536,36.9,93,100,7.67
287,vila franca do campo,pt,37.7167,-25.4334,70.02,88,0,10.18
288,itupiranga,br,-5.1338,-49.3322,72.5,64,54,2.44
289,roald,no,62.5838,6.1242,54.88,86,55,12.3
290,apollonia,gr,40.639,23.4874,79.75,60,29,2.95
291,pitkyaranta,ru,61.5734,31.4792,56.55,87,99,10.98
292,ceske velenice,cz,48.7685,14.9637,67.46,80,65,1.99
293,adrar,dz,27.8734,-0.2875,93.49,14,81,18.5
294,north bend,us,43.4065,-124.2243,59.49,81,0,28.36
295,quatre cocos,mu,-20.2078,57.7625,75.42,68,13,15.93
296,vuktyl,ru,63.8567,57.3094,70.74,68,99,7.49
298,vestmanna,fo,62.1564,-7.1664,51.58,91,85,12.35
299,dawei,mm,14.0733,98.1933,83.7,81,98,11.9
300,natal,br,-5.8054,-35.2081,72.28,96,43,8.88
301,maun,bw,-19.9861,23.4224,43.84,27,0,4.63
302,kachiry,kz,53.0675,76.1036,86.04,46,0,12.15
303,virginia beach,us,36.853,-75.9775,81.32,74,0,13.31
304,dickinson,us,46.8792,-102.7897,61.25,59,71,8.12
305,nanortalik,gl,60.1432,-45.2372,37.47,98,99,3.96
306,alcudia,es,39.8532,3.1214,74.89,71,0,6.31
308,madang,pg,-5.213,145.8088,75.24,79,8,4.61
309,belem de sao francisco,br,-8.7539,-38.9659,63.54,86,23,13.24
311,lima,pe,-12.0622,-77.0366,60.55,86,57,12.73
312,giera,ro,45.4072,20.9922,72.25,65,12,3.56
313,naze,jp,28.3667,129.4833,85.96,85,100,18.99
314,mirzapur,bd,23.0213,90.8334,95.5,59,56,7.94
315,namatanai,pg,-3.6642,152.4407,79.59,82,86,16.73
316,kjollefjord,no,70.9457,27.3465,55.69,80,0,12.75
317,ucluelet,ca,48.9414,-125.5491,57.94,83,0,18.19
318,sokolo,ml,14.7414,-6.121,71.17,70,100,15.64
319,aripuana,br,-9.1667,-60.6334,69.66,58,29,1.03
320,la rioja,ar,-29.4128,-66.8559,42.51,74,0,1.48
322,kalianget,id,-7.3459,109.9109,92.05,59,85,8.23
323,rinconada,mx,25.6817,-100.7137,67.17,62,0,8.9
324,vinh,vn,18.6697,105.6881,108.28,35,95,4.68
325,grants,us,35.1473,-107.8515,72.79,31,52,6.93
326,vitim,ru,59.4397,112.5729,70.95,27,33,19.01
327,tecoanapa,mx,16.9875,-99.2589,79.09,93,100,2.75
328,lafia,ng,8.496,8.5148,72.54,94,100,1.59
329,boden,se,65.827,21.693,66.92,64,41,4.29
330,ola,ru,59.5781,151.2991,48.88,98,100,10.71
331,shimoda,jp,34.701,138.9287,81.16,80,100,2.51
332,vao,nc,-22.6667,167.4833,68.54,59,35,13.65
333,isangel,vu,-19.55,169.2667,74.84,67,62,17.09
334,hofn,is,64.2539,-15.2082,39.92,96,100,14.88
335,coari,br,-4.0886,-63.1432,71.31,95,2,2.82
336,pangnirtung,ca,66.149,-65.7179,49.24,86,100,1.68
337,port augusta,au,-32.4909,137.764,70.2,25,0,27.96
338,homer,us,59.6441,-151.5402,63.91,86,49,19.57
339,gazanjyk,tm,39.2446,55.5154,96.51,49,0,24.32
340,sioux lookout,ca,50.1001,-91.9191,57.78,79,18,6.29
341,robertsport,lr,6.7526,-11.367,76.42,89,99,11.48
342,alugan,ph,12.2188,125.4808,84.67,63,97,3.24
343,grindavik,is,63.8424,-22.4338,51.22,83,87,10.13
344,flin flon,ca,54.7698,-101.879,48.67,78,28,7.36
345,kailua,us,21.3936,-157.7438,75.96,77,11,10.67
347,bira,ru,49.0016,132.4662,82.83,55,45,8.84
348,pereyaslovskaya,ru,45.8447,39.0219,86.11,48,0,4.32
349,chara,ru,56.9029,118.261,49.39,86,100,2.71
350,san joaquin,bo,-16.3829,-58.3948,70.16,49,0,2.8
351,shalinskoye,ru,55.7228,93.7594,69.55,59,69,7.56
353,nuuk,gl,64.175,-51.7356,42.58,90,100,2.84
354,chuy,uy,-33.6938,-53.4562,56.16,96,6,5.99
355,clyde river,ca,70.4692,-68.5915,40.03,75,8,2.04
356,antofagasta,cl,-23.6464,-70.3981,57.56,91,79,5.53
357,georgiyevskaya,ru,44.1145,43.4944,69.39,87,100,3.13
358,spring hill,us,28.4635,-82.5364,73.76,79,100,13.35
359,menongue,ao,-14.6611,17.682,50.36,38,11,3.31
360,vanavara,ru,60.3452,102.2809,73.44,31,98,17.72
361,geraldton,au,-28.7667,114.6,63.64,61,58,15.01
362,dingle,ie,52.1408,-10.2689,58.39,80,61,12.77
363,kahului,us,20.8894,-156.4728,77.76,77,18,19.6
364,kinshasa,cd,-4.3218,15.3126,69.49,88,2,4.29
365,taoudenni,ml,22.6783,-3.9837,90.5,13,24,12.66
366,buraydah,sa,26.3317,43.9717,94.57,9,0,10.42
367,la orilla,mx,17.9994,-102.2268,76.21,89,100,4.81
368,bambanglipuro,id,-7.95,110.2833,74.91,91,66,22.55
370,sambava,mg,-14.2667,50.1667,87.19,59,1,3.49
371,lavrentiya,ru,65.5842,-170.989,55.9,75,100,12.01
372,lethem,gy,3.3803,-59.7969,73.18,89,1,3.94
373,gimli,ca,50.6323,-96.9882,55.27,94,1,8.72
374,portland,au,-33.3484,149.9844,55.6,58,0,8.34
375,luba,gq,3.4568,8.5547,74.08,93,100,6.89
376,narsaq,gl,60.9127,-46.0453,45.18,89,38,3.38
377,kulhudhuffushi,mv,6.6221,73.07,83.88,77,100,22.7
378,sawakin,sd,19.1031,37.3312,105.01,17,3,3.65
379,catuday,ph,16.2923,119.8062,85.14,77,100,11.59
380,atasu,kz,48.6814,71.6433,90.07,30,0,14.05
381,takoradi,gh,4.8874,-1.752,74.01,92,100,3.62
382,camacha,pt,33.0833,-16.3334,69.51,82,96,15.28
383,barcelos,br,-0.973,-62.9257,70.92,99,65,1.99
384,novomyrhorod,ua,48.797,31.6524,78.66,62,0,6.46
386,usinsk,ru,65.9957,57.5571,62.2,76,91,11.86
387,yershov,ru,51.3513,48.2766,82.47,53,0,9.22
390,pokaran,in,26.9262,71.9178,106.23,33,10,7.14
391,suez,eg,29.9745,32.5371,83.34,66,0,7.96
392,mayor pablo lagerenza,py,-19.9309,-60.7718,70.45,69,72,5.61
393,san miguel,bo,-10.8495,-65.4389,70.81,70,54,1.3
394,chopovychi,ua,50.8268,28.9467,74.62,74,56,5.95
395,wanning,cn,18.8003,110.3967,103.5,42,100,1.83
396,bushenyi,ug,-0.539,30.1894,77.72,68,26,1.63
398,obo,cf,5.3941,26.4927,74.8,91,100,2.68
399,puerto del rosario,es,28.5004,-13.8628,70.2,84,84,12.82
400,winsum,nl,53.3283,6.5163,64.87,80,100,17.6
401,moron,mn,47.3825,110.3165,82.44,37,4,7.92
402,arkhipo-osipovka,ru,44.3707,38.5339,84.88,44,0,7.92
403,pidhorodne,ua,48.5682,35.1015,73.65,45,0,4.16
404,lokot,ru,52.5722,34.5717,72.43,79,0,7.2
405,buchanan,lr,5.8813,-10.0495,74.16,85,92,19.57
406,yamaranguila,hn,14.2824,-88.2417,70.63,99,81,3.42
407,anori,br,-3.7436,-61.6606,72.68,96,83,3.18
408,kande,tg,9.9578,1.0447,69.33,94,68,3.91
409,san cristobal,ec,-1.0243,-79.4413,71.82,81,25,5.53
410,tasiilaq,gl,65.6145,-37.6368,41.25,64,95,0.54
412,cap-haitien,ht,19.7595,-72.2009,83.05,79,33,19.89
413,hambantota,lk,6.1241,81.1185,90.9,68,100,22.77
415,yertsevo,ru,60.7966,40.086,68.83,89,48,2.35
416,chernyshevskiy,ru,63.0128,112.4714,70.27,34,0,10
417,kargasok,ru,59.0598,80.8709,84.85,38,0,8.48
418,cao bang,vn,22.6667,106.25,104.68,51,99,2.77
419,spornoye,ru,50.8448,37.2913,73.11,76,0,7.74
420,deputatskiy,ru,69.3,139.9,57.38,40,92,5.32
421,kuah,my,6.3265,99.8432,84.47,74,95,14.32
422,lukovetskiy,ru,64.2921,41.9233,59.5,72,100,6.2
423,yen bai,vn,21.7,104.8667,84.63,84,100,0.96
424,palmer,us,61.5996,-149.1111,59.79,91,86,4.81
425,lumajang,id,-8.1353,113.2244,81.72,54,80,2.01
427,omsukchan,ru,62.5333,155.8,42.44,93,100,8.75
429,aksarka,ru,66.5606,67.7975,78.55,49,0,10.65
430,petropavlovsk-kamchatskiy,ru,53.0452,158.6483,66.78,81,90,9.75
431,progreso,mx,20.2478,-99.1891,56.66,92,73,4.32
432,churapcha,ru,62.0025,132.4325,62.89,39,79,7.23
434,verkhnyaya maksakovka,ru,61.635,50.9674,73.9,69,75,4.72
435,kholodnyy,ru,62.7167,147.95,35.31,97,100,7.56
436,berlevag,no,70.8578,29.0864,51.33,86,0,6.11
437,kruisfontein,za,-34.0034,24.7314,46.22,78,91,17.13
438,windhoek,na,-22.5745,17.0791,45.48,48,0,2.17
439,coihaique,cl,-45.5753,-72.0662,29.89,98,89,2.3
440,awjilah,ly,29.1403,21.2975,81.39,41,0,13.27
441,grand gaube,mu,-20.0064,57.6608,73.47,72,0,19.98
442,taldan,ru,53.6887,124.8189,59.86,99,100,8.1
444,labuhan,id,-2.5409,115.5092,94.89,51,14,1.5
445,oum hadjer,td,13.2954,19.6966,81.1,65,51,14.29
446,cascais,pt,38.6969,-9.4205,64.17,94,3,17.85
447,comodoro rivadavia,ar,-45.8654,-67.4808,42.66,52,13,25.59
448,we,nc,-20.9169,167.2646,67.89,75,56,19.19
449,alyangula,au,-13.8484,136.4192,81.61,72,0,14.2
450,amot,no,59.5714,7.9877,60.3,81,84,5.46
451,necochea,ar,-38.5473,-58.7368,48.54,53,99,10.51
452,san antonio,cl,-33.5809,-71.6133,41.58,73,100,19.33
453,uelzen,de,52.9668,10.5586,65.98,78,46,6.33
454,tomatlan,mx,19.9333,-105.25,77.5,83,98,7.25
455,boguchany,ru,58.3828,97.4616,52.48,96,100,7.07
456,aswan,eg,24.0911,32.8973,98.6,16,4,14.56
457,nishihara,jp,35.7387,139.5312,88.34,38,100,2.21
458,chifeng,cn,42.2683,118.9636,85.89,48,100,13.38
459,saint-andre-les-vergers,fr,48.2853,4.0521,64.02,71,86,5.46
460,beyneu,kz,45.3214,55.1862,96.22,29,37,14.12
461,tsumeb,na,-19.2492,17.7162,47.44,21,0,5.48
462,bosaso,so,11.2785,49.18,93.38,58,73,16.6
464,sitka,us,37.175,-99.6516,83.05,33,33,21.12
465,talnakh,ru,69.494,88.3908,75.02,35,1,14.09
466,sorong,id,-0.8635,131.2545,84.85,66,94,8.05
468,trelew,ar,-43.2532,-65.3095,36.28,56,0,10.47
469,sibolga,id,1.737,98.7846,85.14,69,100,6.08
471,itapema,br,-27.0948,-48.6138,58.21,98,92,1.32
472,hami,cn,42.8354,93.5128,92.59,19,100,2.73
474,ketchikan,us,55.3422,-131.6462,59.68,86,100,1.48
476,odessa,us,31.8457,-102.3677,82.24,38,0,18.54
477,cockburn town,bs,24.0333,-74.5167,81.93,81,9,16.96
478,nokha,in,27.5575,73.4724,104.14,32,0,8.19
479,amberley,nz,-43.1513,172.733,47.44,93,100,13.51
480,sistranda,no,63.7256,8.834,57.09,88,24,11.03
481,tautira,pf,-17.7334,-149.15,75,71,1,15.55
482,pahrump,us,36.2083,-115.984,75.25,19,26,8.25
483,tupik,ru,54.4268,119.9437,46.8,97,100,10.83
484,gornyy,ru,51.7561,48.5385,80.38,57,0,8.1
485,mattru,sl,7.6244,-11.8333,73.04,96,99,1.81
486,nabire,id,-3.3597,135.505,76.75,80,64,3.69
